DEG	LO	NLO	N2LO	N3LO	N4LO
63	5.168	5.642	5.879	6.298	6.211
64	5.166	5.609	5.856	6.277	6.189
65	5.161	5.574	5.831	6.254	6.166
66	5.154	5.539	5.805	6.229	6.14
67	5.145	5.501	5.777	6.202	6.113
68	5.134	5.463	5.748	6.174	6.084
69	5.12	5.424	5.718	6.144	6.053
70	5.105	5.384	5.686	6.112	6.021
71	5.087	5.343	5.653	6.079	5.988
72	5.067	5.301	5.619	6.044	5.953
73	5.046	5.258	5.584	6.008	5.917
74	5.023	5.214	5.548	5.971	5.879
75	4.997	5.17	5.511	5.933	5.841
76	4.97	5.126	5.473	5.893	5.801
77	4.942	5.081	5.434	5.852	5.761
78	4.912	5.035	5.394	5.811	5.719
79	4.88	4.989	5.354	5.768	5.677
80	4.847	4.943	5.313	5.725	5.634
81	4.813	4.897	5.272	5.681	5.59
82	4.777	4.851	5.23	5.636	5.545
83	4.74	4.805	5.188	5.591	5.5
84	4.702	4.758	5.145	5.545	5.455
85	4.662	4.712	5.102	5.498	5.409
86	4.622	4.666	5.059	5.452	5.362
87	4.581	4.621	5.016	5.404	5.316
88	4.539	4.575	4.972	5.357	5.269
89	4.496	4.53	4.929	5.31	5.222
90	4.453	4.486	4.885	5.262	5.175
91	4.408	4.442	4.842	5.215	5.129
92	4.364	4.399	4.799	5.167	5.082
93	4.318	4.356	4.756	5.12	5.035
94	4.273	4.314	4.713	5.072	4.989
95	4.226	4.272	4.671	5.025	4.942
96	4.18	4.231	4.629	4.979	4.897
97	4.133	4.192	4.587	4.932	4.851
98	4.086	4.152	4.546	4.886	4.806
99	4.039	4.114	4.505	4.84	4.761
100	3.992	4.077	4.465	4.795	4.717
101	3.945	4.041	4.425	4.751	4.674
102	3.898	4.005	4.386	4.707	4.631
103	3.851	3.971	4.348	4.663	4.588
104	3.804	3.938	4.31	4.621	4.547
105	3.758	3.906	4.273	4.579	4.506
106	3.711	3.875	4.237	4.538	4.466
107	3.665	3.845	4.201	4.497	4.426
108	3.619	3.816	4.166	4.457	4.388
109	3.574	3.788	4.132	4.418	4.35
110	3.529	3.761	4.099	4.38	4.313
111	3.484	3.736	4.067	4.343	4.277
112	3.44	3.711	4.035	4.307	4.242
113	3.397	3.688	4.004	4.272	4.208
114	3.354	3.666	3.974	4.237	4.175
115	3.312	3.645	3.945	4.204	4.142
116	3.27	3.626	3.917	4.172	4.111
117	3.229	3.607	3.89	4.14	4.081
118	3.189	3.59	3.864	4.11	4.051
119	3.149	3.573	3.838	4.08	4.023
120	3.11	3.558	3.814	4.052	3.996
121	3.072	3.544	3.79	4.024	3.969
122	3.034	3.531	3.768	3.998	3.944
123	2.998	3.519	3.746	3.972	3.919
124	2.962	3.509	3.725	3.947	3.896
125	2.927	3.499	3.705	3.924	3.873
126	2.892	3.49	3.686	3.901	3.852
127	2.859	3.482	3.667	3.88	3.831
128	2.826	3.476	3.65	3.859	3.812
129	2.795	3.47	3.633	3.839	3.793
130	2.764	3.465	3.617	3.821	3.775
131	2.734	3.461	3.602	3.803	3.758
132	2.705	3.458	3.588	3.786	3.742
133	2.676	3.455	3.575	3.77	3.727
134	2.649	3.454	3.562	3.755	3.713
135	2.622	3.453	3.55	3.74	3.7
136	2.596	3.453	3.539	3.727	3.687
137	2.572	3.454	3.528	3.714	3.675
138	2.547	3.455	3.518	3.702	3.664
139	2.524	3.457	3.509	3.691	3.654
140	2.502	3.46	3.501	3.681	3.644
141	2.48	3.463	3.493	3.671	3.635
142	2.459	3.466	3.485	3.662	3.627
143	2.439	3.471	3.479	3.654	3.619
144	2.42	3.475	3.472	3.646	3.612
145	2.402	3.48	3.467	3.639	3.606
146	2.384	3.486	3.462	3.633	3.6
147	2.367	3.491	3.457	3.627	3.595
148	2.351	3.497	3.453	3.622	3.59
149	2.335	3.503	3.449	3.617	3.586
150	2.32	3.51	3.445	3.612	3.582
151	2.306	3.517	3.442	3.608	3.579
152	2.293	3.523	3.44	3.605	3.576
153	2.28	3.53	3.437	3.602	3.573
154	2.268	3.537	3.435	3.599	3.571
155	2.256	3.544	3.433	3.597	3.569
156	2.245	3.551	3.432	3.595	3.567
157	2.235	3.559	3.431	3.593	3.566
158	2.225	3.566	3.43	3.592	3.565
159	2.216	3.572	3.429	3.59	3.564
160	2.207	3.579	3.428	3.589	3.563
161	2.199	3.586	3.428	3.589	3.563
162	2.191	3.592	3.427	3.588	3.562
163	2.184	3.599	3.427	3.587	3.562
164	2.177	3.605	3.427	3.587	3.562
165	2.171	3.611	3.427	3.587	3.562
166	2.165	3.616	3.427	3.587	3.562
167	2.16	3.622	3.427	3.587	3.562
168	2.155	3.627	3.427	3.587	3.563
169	2.151	3.631	3.428	3.587	3.563
170	2.147	3.636	3.428	3.587	3.563
171	2.143	3.639	3.428	3.587	3.564
172	2.14	3.643	3.428	3.587	3.564
173	2.137	3.646	3.429	3.588	3.564
174	2.135	3.649	3.429	3.588	3.565
175	2.133	3.651	3.429	3.588	3.565
176	2.131	3.653	3.429	3.588	3.565
177	2.13	3.655	3.429	3.588	3.565
178	2.129	3.656	3.429	3.588	3.565
179	2.129	3.657	3.43	3.588	3.565
180	2.128	3.657	3.43	3.588	3.565
