DEG	LO	NLO	N2LO	N3LO	N4LO
37	-0.4314	-0.1975	-0.2333	-0.2757	-0.2662
38	-0.4418	-0.2037	-0.2405	-0.2842	-0.2744
39	-0.4519	-0.2097	-0.2476	-0.2924	-0.2824
40	-0.4616	-0.2156	-0.2545	-0.3005	-0.2901
41	-0.4709	-0.2213	-0.2612	-0.3083	-0.2977
42	-0.4799	-0.2269	-0.2677	-0.3159	-0.3051
43	-0.4885	-0.2322	-0.2741	-0.3233	-0.3122
44	-0.4967	-0.2374	-0.2802	-0.3305	-0.3191
45	-0.5047	-0.2424	-0.2861	-0.3375	-0.3258
46	-0.5122	-0.2471	-0.2919	-0.3442	-0.3323
47	-0.5194	-0.2517	-0.2974	-0.3507	-0.3386
48	-0.5263	-0.2561	-0.3027	-0.357	-0.3446
49	-0.5329	-0.2603	-0.3078	-0.363	-0.3504
50	-0.5392	-0.2643	-0.3127	-0.3688	-0.356
51	-0.5452	-0.2681	-0.3174	-0.3744	-0.3613
52	-0.5508	-0.2717	-0.3219	-0.3797	-0.3664
53	-0.5562	-0.2751	-0.3261	-0.3848	-0.3713
54	-0.5613	-0.2782	-0.3302	-0.3897	-0.376
55	-0.5661	-0.2812	-0.334	-0.3943	-0.3804
56	-0.5707	-0.284	-0.3376	-0.3987	-0.3846
57	-0.575	-0.2865	-0.3411	-0.4029	-0.3886
58	-0.579	-0.2888	-0.3443	-0.4069	-0.3924
59	-0.5828	-0.291	-0.3473	-0.4106	-0.3959
60	-0.5863	-0.2929	-0.3501	-0.4142	-0.3993
61	-0.5896	-0.2946	-0.3527	-0.4175	-0.4024
62	-0.5927	-0.2961	-0.3551	-0.4206	-0.4053
63	-0.5955	-0.2974	-0.3573	-0.4234	-0.4079
64	-0.5981	-0.2984	-0.3593	-0.4261	-0.4104
65	-0.6005	-0.2993	-0.3611	-0.4285	-0.4127
66	-0.6027	-0.3	-0.3627	-0.4308	-0.4147
67	-0.6047	-0.3005	-0.3641	-0.4328	-0.4166
68	-0.6065	-0.3007	-0.3653	-0.4346	-0.4182
69	-0.6081	-0.3008	-0.3663	-0.4362	-0.4196
70	-0.6095	-0.3006	-0.3671	-0.4376	-0.4209
71	-0.6106	-0.3003	-0.3678	-0.4388	-0.4219
72	-0.6116	-0.2997	-0.3682	-0.4398	-0.4227
73	-0.6125	-0.299	-0.3685	-0.4406	-0.4234
74	-0.6131	-0.2981	-0.3686	-0.4412	-0.4238
75	-0.6135	-0.2969	-0.3685	-0.4416	-0.4241
76	-0.6138	-0.2956	-0.3682	-0.4419	-0.4241
77	-0.6139	-0.2941	-0.3677	-0.4419	-0.424
78	-0.6138	-0.2924	-0.3671	-0.4417	-0.4236
79	-0.6136	-0.2905	-0.3663	-0.4413	-0.4231
80	-0.6132	-0.2884	-0.3653	-0.4408	-0.4224
81	-0.6126	-0.2861	-0.3642	-0.44	-0.4215
82	-0.6118	-0.2837	-0.3628	-0.4391	-0.4204
83	-0.6109	-0.2811	-0.3613	-0.4379	-0.4192
84	-0.6098	-0.2783	-0.3597	-0.4366	-0.4177
85	-0.6086	-0.2753	-0.3579	-0.4351	-0.4161
86	-0.6072	-0.2722	-0.3559	-0.4334	-0.4143
87	-0.6056	-0.2689	-0.3537	-0.4315	-0.4123
88	-0.6038	-0.2654	-0.3514	-0.4295	-0.4101
89	-0.6019	-0.2618	-0.349	-0.4272	-0.4077
90	-0.5998	-0.258	-0.3464	-0.4248	-0.4052
91	-0.5976	-0.2541	-0.3436	-0.4222	-0.4025
92	-0.5952	-0.2501	-0.3407	-0.4194	-0.3996
93	-0.5926	-0.2459	-0.3376	-0.4165	-0.3966
94	-0.5898	-0.2416	-0.3344	-0.4133	-0.3934
95	-0.5869	-0.2371	-0.3311	-0.41	-0.39
96	-0.5838	-0.2326	-0.3276	-0.4066	-0.3864
97	-0.5806	-0.2279	-0.324	-0.4029	-0.3827
98	-0.5770999999999999	-0.2231	-0.3202	-0.3991	-0.3788
99	-0.5735	-0.2183	-0.3163	-0.3951	-0.3748
100	-0.5697	-0.2133	-0.3123	-0.3909	-0.3706
101	-0.5658	-0.2083	-0.3082	-0.3866	-0.3663
102	-0.5616	-0.2031	-0.3039	-0.3821	-0.3618
103	-0.5573	-0.198	-0.2996	-0.3775	-0.3571
104	-0.5528	-0.1927	-0.2951	-0.3727	-0.3524
105	-0.5481	-0.1875	-0.2905	-0.3677	-0.3474
106	-0.5432	-0.1821	-0.2858	-0.3626	-0.3424
107	-0.5381	-0.1768	-0.281	-0.3574	-0.3372
108	-0.5329	-0.1714	-0.2762	-0.352	-0.3319
109	-0.5274	-0.166	-0.2712	-0.3465	-0.3264
110	-0.5217000000000001	-0.1606	-0.2661	-0.3409	-0.3209
111	-0.5159	-0.1553	-0.261	-0.3351	-0.3152
112	-0.5098	-0.1499	-0.2558	-0.3292	-0.3094
113	-0.5036	-0.1446	-0.2505	-0.3232	-0.3035
114	-0.4971	-0.1392	-0.2452	-0.3171	-0.2975
115	-0.4905	-0.134	-0.2398	-0.3108	-0.2914
116	-0.4836	-0.1288	-0.2344	-0.3045	-0.2853
117	-0.4765	-0.1236	-0.2289	-0.2981	-0.279
118	-0.4693	-0.1185	-0.2233	-0.2916	-0.2727
119	-0.4618	-0.1135	-0.2178	-0.285	-0.2663
120	-0.4542	-0.1085	-0.2122	-0.2783	-0.2599
121	-0.4464	-0.1037	-0.2066	-0.2716	-0.2534
122	-0.4383	-0.09893	-0.2009	-0.2648	-0.2469
123	-0.4301	-0.09427000000000001	-0.1953	-0.2579	-0.2403
124	-0.4217	-0.08971999999999999	-0.1896	-0.2511	-0.2337
125	-0.4131	-0.08527	-0.184	-0.2441	-0.2271
126	-0.4044	-0.08094	-0.1783	-0.2372	-0.2204
127	-0.3954	-0.07673000000000001	-0.1727	-0.2302	-0.2138
128	-0.3864	-0.07264	-0.1671	-0.2232	-0.2071
129	-0.3771	-0.06868	-0.1615	-0.2162	-0.2005
130	-0.3677	-0.06483999999999999	-0.156	-0.2093	-0.1939
131	-0.3582	-0.06113	-0.1505	-0.2023	-0.1873
132	-0.3485	-0.05756	-0.145	-0.1953	-0.1807
133	-0.3387	-0.05412	-0.1396	-0.1884	-0.1742
134	-0.3288	-0.05081	-0.1342	-0.1815	-0.1677
135	-0.3189	-0.04763	-0.1289	-0.1747	-0.1612
136	-0.3088	-0.04458	-0.1237	-0.1679	-0.1548
137	-0.2986	-0.04167	-0.1185	-0.1612	-0.1485
138	-0.2884	-0.03889	-0.1134	-0.1545	-0.1423
139	-0.2782	-0.03624	-0.1084	-0.1479	-0.1361
140	-0.2679	-0.03371	-0.1034	-0.1414	-0.1301
141	-0.2576	-0.03131	-0.09857	-0.135	-0.1241
142	-0.2472	-0.02903	-0.09379999999999999	-0.1287	-0.1182
143	-0.2369	-0.02687	-0.08913	-0.1224	-0.1124
144	-0.2267	-0.02483	-0.08455	-0.1163	-0.1067
145	-0.2164	-0.0229	-0.08007	-0.1103	-0.1011
146	-0.2063	-0.02109	-0.07568999999999999	-0.1044	-0.09569999999999999
147	-0.1962	-0.01938	-0.07142	-0.09869	-0.09037000000000001
148	-0.1862	-0.01777	-0.06726	-0.09306	-0.08517
149	-0.1763	-0.01626	-0.06321	-0.08757	-0.0801
150	-0.1665	-0.01485	-0.05927	-0.08222	-0.07516
151	-0.1569	-0.01353	-0.05545	-0.07701	-0.07036000000000001
152	-0.1474	-0.0123	-0.05175	-0.07195	-0.06571
153	-0.1381	-0.01115	-0.04817	-0.06704	-0.06119
154	-0.129	-0.01009	-0.0447	-0.06229	-0.05683
155	-0.1201	-0.009096999999999999	-0.04136	-0.05769	-0.05261
156	-0.1115	-0.00818	-0.03815	-0.05326	-0.04855
157	-0.103	-0.007332	-0.03506	-0.04899	-0.04464
158	-0.09483	-0.006549	-0.03209	-0.04489	-0.04088
159	-0.08691	-0.005828	-0.02926	-0.04095	-0.03729
160	-0.07926	-0.005165	-0.02655	-0.03719	-0.03385
161	-0.07191	-0.004557	-0.02397	-0.0336	-0.03057
162	-0.06485	-0.004001	-0.02152	-0.03019	-0.02746
163	-0.05812	-0.003493	-0.0192	-0.02696	-0.02451
164	-0.0517	-0.003031	-0.01701	-0.0239	-0.02172
165	-0.04563	-0.002612	-0.01496	-0.02102	-0.0191
166	-0.0399	-0.002232	-0.01303	-0.01833	-0.01665
167	-0.03452	-0.001891	-0.01124	-0.01581	-0.01436
168	-0.02951	-0.001584	-0.009578	-0.01348	-0.01224
169	-0.02487	-0.00131	-0.008049000000000001	-0.01133	-0.01029
170	-0.02061	-0.001066	-0.006653	-0.009371000000000001	-0.008506
171	-0.01673	-0.0008520999999999999	-0.005389	-0.007594	-0.006892
172	-0.01325	-0.000665	-0.004258	-0.006002	-0.005447
173	-0.01016	-0.0005036	-0.00326	-0.004597	-0.004171
174	-0.00748	-0.0003664	-0.002395	-0.003378	-0.003065
175	-0.005202	-0.0002524	-0.001664	-0.002347	-0.002129
176	-0.003333	-0.0001604	-0.001065	-0.001502	-0.001362
177	-0.001876	-8.975e-05	-0.0005989	-0.000845	-0.0007664
178	-0.0008345	-3.973e-05	-0.0002662	-0.0003756	-0.0003407
179	-0.0002087	-9.911e-06	-6.655e-05	-9.391e-05	-8.517e-05
180	0	0	0	0	0
