THCM,CROSS,CROSS2,P1,P2,PHIP,angle,CUTOFF,FORCE,WAVE,T11D,T20D,T21D,T22D,T11D2,T20D2,T21D2,T22D2,AX,AY,AZ,AX2,AY2,AZ2,POLNOUT(y),POLNOUT2(y),CROSSCAP,CROSSCAP2,AYN1CAP,AYN1CAP2,Energy
1.4137,2.76,2.965,352.79,352.79,0.0,81.0,450,N4LO+,SIEGERT,-0.0,0.6582,0.08278,-0.6479,-0.07849,0.5189,0.2616,-0.6121,-0.4215,0.0,-1.42e-17,-0.2691,0.0,0.0,-0.0,-0.07348,0.5645,0.6063,0.0,0.07348,140
1.4312,2.734,2.935,352.79,352.79,0.0,82.0,450,N4LO+,SIEGERT,-0.0,0.6625,0.05095,-0.6496,-0.07697,0.5308,0.2332,-0.6161,-0.42,0.0,7.171e-18,-0.2677,0.0,0.0,-0.0,-0.07955,0.559,0.6001,-0.0,0.07955,140
1.4486,2.707,2.905,352.79,352.79,0.0,83.0,450,N4LO+,SIEGERT,-0.0,0.665,0.01909,-0.6505,-0.07534,0.5413,0.2044,-0.6194,-0.4184,0.0,-1.448e-17,-0.2662,0.0,-1.35e-17,-0.0,-0.08569,0.5535,0.5941,0.0,0.08569,140
1.4661,2.68,2.876,352.79,352.79,0.0,84.0,450,N4LO+,SIEGERT,-0.0,0.666,-0.01273,-0.6508,-0.07357,0.5503,0.1753,-0.6223,-0.4165,0.0,0.0,-0.2644,0.0,0.0,-0.0,-0.0919,0.5479,0.5881,0.0,0.0919,140
1.4835,2.652,2.847,352.79,352.79,0.0,85.0,450,N4LO+,SIEGERT,-0.0,0.6652,-0.04445,-0.6505,-0.07168,0.5579,0.1461,-0.6246,-0.4145,0.0,1.478e-17,-0.2625,0.0,0.0,-0.0,-0.09818,0.5423,0.5822,-0.0,0.09818,140
1.501,2.624,2.819,352.79,352.79,0.0,86.0,450,N4LO+,SIEGERT,-0.0,0.6628,-0.07602,-0.6495,-0.06967,0.5639,0.1166,-0.6263,-0.4124,0.0,-7.47e-18,-0.2604,0.0,0.0,-0.0,-0.1045,0.5366,0.5763,0.0,0.1045,140
1.5184,2.596,2.791,352.79,352.79,0.0,87.0,450,N4LO+,SIEGERT,-0.0,0.6588,-0.1074,-0.6478,-0.06753,0.5684,0.08704,-0.6274,-0.4101,0.0,0.0,-0.2582,0.0,0.0,-0.0,-0.1109,0.5309,0.5707,0.0,0.1109,140
1.5359,2.568,2.763,352.79,352.79,0.0,88.0,450,N4LO+,SIEGERT,-0.0,0.6531,-0.1384,-0.6455,-0.06526,0.5714,0.0574,-0.628,-0.4076,0.0,1.527e-17,-0.2558,-1.419e-17,0.0,-0.0,-0.1173,0.5252,0.5651,-0.0,0.1173,140
1.5533,2.54,2.737,352.79,352.79,0.0,89.0,450,N4LO+,SIEGERT,-0.0,0.6459,-0.1692,-0.6426,-0.06286,0.573,0.02775,-0.6281,-0.405,0.0,1.544e-17,-0.2532,0.0,1.433e-17,-0.0,-0.1237,0.5194,0.5596,0.0,0.1237,140
1.5708,2.512,2.711,352.79,352.79,0.0,90.0,450,N4LO+,SIEGERT,-0.0,0.6371,-0.1996,-0.639,-0.06034,0.573,-0.001861,-0.6276,-0.4022,0.0,-1.561e-17,-0.2504,0.0,-1.446e-17,-0.0,-0.1302,0.5136,0.5543,0.0,0.1302,140
1.5882,2.483,2.685,352.79,352.79,0.0,91.0,450,N4LO+,SIEGERT,0.0,0.6268,-0.2295,-0.6348,-0.0577,0.5716,-0.03139,-0.6266,-0.3993,0.0,0.0,-0.2475,0.0,0.0,-0.0,-0.1367,0.5078,0.5491,0.0,0.1367,140
1.6057,2.455,2.66,352.79,352.79,0.0,92.0,450,N4LO+,SIEGERT,-0.0,0.6151,-0.259,-0.6301,-0.05493,0.5687,-0.06078,-0.625,-0.3962,0.0,0.0,-0.2445,0.0,-1.474e-17,-0.0,-0.1432,0.502,0.544,0.0,0.1432,140
