 #     E1  dGamma/dq   dGamma/dE1 
  0.3709101E+00  0.2125820E-05  0.5384214E-05
  0.3749860E+00  0.2032365E-05  0.5119462E-05
  0.3790842E+00  0.1935776E-05  0.4849731E-05
  0.3832047E+00  0.1837482E-05  0.4578657E-05
  0.3873474E+00  0.1738471E-05  0.4308711E-05
  0.3915124E+00  0.1639416E-05  0.4041539E-05
  0.3956996E+00  0.1541203E-05  0.3779265E-05
  0.3999092E+00  0.1445563E-05  0.3526035E-05
  0.4041410E+00  0.1354282E-05  0.3286039E-05
  0.4083951E+00  0.1268951E-05  0.3062915E-05
  0.4126714E+00  0.1191117E-05  0.2860108E-05
  0.4169701E+00  0.1122678E-05  0.2681841E-05
  0.4212910E+00  0.1066498E-05  0.2534539E-05
  0.4256342E+00  0.1026797E-05  0.2427709E-05
  0.4299996E+00  0.1004681E-05  0.2363330E-05
  0.4343873E+00  0.9924110E-06  0.2322647E-05
  0.4387973E+00  0.9825334E-06  0.2287945E-05
  0.4432296E+00  0.1000295E-05  0.2317630E-05
