 #   q  dGamma/dq   dGamma/dE1 
   8.0939035147975513E-002   2.0072262481597609E-008   1.0882973402889644E-007
   8.2843417904441011E-002   1.9418208929344733E-008   1.0406637266445955E-007
   8.4769944646446785E-002   1.8811896466838768E-008   9.9664818880172596E-008
   8.6718615373992863E-002   1.8255546008669808E-008   9.5624441393026525E-008
   8.8689430087079246E-002   1.7751315375798372E-008   9.1944310335445977E-008
   9.0682388785705906E-002   1.7301207015996578E-008   8.8622741063991684E-008
   9.2697491469872870E-002   1.6906943776648975E-008   8.5656706023919247E-008
   9.4734738139580110E-002   1.6569729483469487E-008   8.3040707457427667E-008
   9.6794128794827683E-002   1.6289769419320085E-008   8.0764532038323098E-008
   9.8875663435615532E-002   1.6065431685861100E-008   7.8809386411098651E-008
  0.10097934206194367        1.5891794951567978E-008   7.7141296945326479E-008
  0.10310516467381214        1.5758346389344692E-008   7.5700837500636046E-008
  0.10525313127122086        1.5646120060972765E-008   7.4390828885394440E-008
  0.10742324185416992        1.5526167274088923E-008   7.3071056271146030E-008
  0.10961549642265922        1.5363666183572614E-008   7.1579578489234809E-008
  0.11182989497668885        1.5130861490569892E-008   6.9793495354648821E-008
  0.11406643751625881        1.4822305241801721E-008   6.7696632449050364E-008
  0.11632512404136904        1.4456816018472898E-008   6.5383195721937341E-008
  0.11860595455201955        1.4064756874531381E-008   6.2995457523521530E-008
  0.12090892904821036        1.3674888929131176E-008   6.0663138033792700E-008
  0.12323404752994145        1.3307779373769140E-008   5.8475034612472335E-008
  0.12558130999721287        1.2976173329422525E-008   5.6482561674330334E-008
  0.12795071645002457        1.2687421095948716E-008   5.4711956456572913E-008
  0.13034226688837661        1.2445647292431904E-008   5.3174707027908399E-008
  0.13275596131226891        1.2253268148963673E-008   5.1874649275620653E-008
  0.13519179972170148        1.2111829054114288E-008   5.0811826856747233E-008
  0.13764978211667434        1.2022471233325556E-008   4.9984601514367688E-008
  0.14012990849718754        1.1986233302538285E-008   4.9390970423727973E-008
  0.14263217886324100        1.2004218024029097E-008   4.9029263339413768E-008
  0.14515659321483476        1.2077588480127587E-008   4.8898112580896844E-008
  0.14770315155196892        1.2207553864107106E-008   4.8996382904638891E-008
  0.15027185387464329        1.2395358067887008E-008   4.9323116116893447E-008
  0.15286270018285794        1.2642298265789025E-008   4.9877596858074348E-008
  0.15547569047661289        1.2949601274702048E-008   5.0658858677376726E-008
  0.15811082475590812        1.3318363782210544E-008   5.1665462667755454E-008
  0.16076810302074368        1.3749926864264183E-008   5.2896957866337771E-008
