 #   q  dGamma/dq   dGamma/dE1 
   3.2886586525532543E-002   7.7227470894202973E-008   6.5689002210523265E-007
   3.4104505730248841E-002   7.5161359239456716E-008   6.2779665483103121E-007
   3.5344568920505443E-002   7.3092554149550206E-008   5.9971104212264453E-007
   3.6606776096302328E-002   7.1032247760561981E-008   5.7267083787750837E-007
   3.7891127257639504E-002   6.8990237995964776E-008   5.4670007319388282E-007
   3.9197622404517005E-002   6.6974806974846963E-008   5.2180935380667338E-007
   4.0526261536934775E-002   6.4992602071548308E-008   4.9799605825890455E-007
   4.1877044654892844E-002   6.3048534424553971E-008   4.7524464826769014E-007
   4.3249971758391223E-002   6.1145713284892109E-008   4.5352721512221528E-007
   4.4645042847429886E-002   5.9285397756459054E-008   4.3280410142070471E-007
   4.6062257922008847E-002   5.7466970220411868E-008   4.1302462081837285E-007
   4.7501616982128098E-002   5.5687900342877531E-008   3.9412764519827530E-007
   4.8963120027787667E-002   5.3943719510903595E-008   3.7604221155971397E-007
   5.0446767058987520E-002   5.2228029998238065E-008   3.5868831347630035E-007
   5.1952558075727663E-002   5.0532608656670485E-008   3.4197826292877792E-007
   5.3480493078008118E-002   4.8853752823797532E-008   3.2585957079700534E-007
   5.5030572065828856E-002   4.7197379916012962E-008   3.1034598281582667E-007
   5.6602795039189878E-002   4.5569890969402740E-008   2.9545361128918249E-007
   5.8197161998091239E-002   4.3977160577165652E-008   2.8119431343843502E-007
   5.9813672942532863E-002   4.2424539201888906E-008   2.6757599544753155E-007
   6.1452327872514777E-002   4.0916822247660712E-008   2.5460268518621513E-007
   6.3113126788036988E-002   3.9458200300003062E-008   2.4227448352378254E-007
   6.4796069689099525E-002   3.8052275075530881E-008   2.3058791764699713E-007
   6.6501156575702339E-002   3.6702072740795001E-008   2.1953625128792878E-007
   6.8228387447845443E-002   3.5410045355547369E-008   2.0910970111033639E-007
   6.9977762305528865E-002   3.4178059206220301E-008   1.9929556032057672E-007
   7.1749281148752564E-002   3.3007407703016719E-008   1.9007845451877334E-007
   7.3542943977516553E-002   3.1898893465644698E-008   1.8144097225946919E-007
   7.5358750791820847E-002   3.0852879810655625E-008   1.7336407781920167E-007
   7.7196701591665459E-002   2.9869315904365853E-008   1.6582734810170601E-007
   7.9056796377050348E-002   2.8947772834865596E-008   1.5880925262422804E-007
   8.0939035147975513E-002   2.8087505095598346E-008   1.5228755163458510E-007
   8.2843417904441011E-002   2.7289001954516856E-008   1.4624765123153649E-007
   8.4769944646446785E-002   2.6555507860089866E-008   1.4069022152085078E-007
   8.6718615373992863E-002   2.5890551376608976E-008   1.3561739054914658E-007
   8.8689430087079246E-002   2.5297617732326203E-008   1.3103096679244650E-007
   9.0682388785705906E-002   2.4780017382947714E-008   1.2693178354895784E-007
   9.2697491469872870E-002   2.4340679899479185E-008   1.2331870798858556E-007
   9.4734738139580110E-002   2.3981749310009293E-008   1.2018671944865469E-007
   9.6794128794827683E-002   2.3703776260646543E-008   1.1752311208049843E-007
   9.8875663435615532E-002   2.3504271834973256E-008   1.1530080719736507E-007
  0.10097934206194367        2.3375193793514005E-008   1.1346690358612403E-007
  0.10310516467381214        2.3298971004292773E-008   1.1192491739619284E-007
  0.10525313127122086        2.3243546764274451E-008   1.1051345019036627E-007
  0.10742324185416992        2.3159711418856506E-008   1.0899693056476307E-007
  0.10961549642265922        2.2988176533664592E-008   1.0710230011865536E-007
  0.11182989497668885        2.2681934238204488E-008   1.0462401449350328E-007
  0.11406643751625881        2.2232656521446923E-008   1.0154128877698284E-007
  0.11632512404136904        2.1674032792841797E-008   9.8024179485114343E-008
