 p, p', V11, V12, V21, V22
   1.1852434864195561E-002  0.12783410097898734      -0.76142628705909310        3.9880519301342156E-002   3.2769212457624172E-004   5.3244183560738938E-006
   1.1852434864195561E-002  0.17659204054679603      -0.74543039371764697        7.3818625383425512E-002   3.0547293265113784E-004   9.4694812840546023E-006
   1.1852434864195561E-002  0.23346925969581567      -0.72174194767654543       0.12319155904355246        2.7482416768499638E-004   1.4880108317642914E-005
   1.1852434864195561E-002  0.29860603402024699      -0.68940602206743862       0.18875870651267795        2.3708566085675696E-004   2.0960431973428577E-005
   1.1852434864195561E-002  0.37216106493238577      -0.64830208250969978       0.26876942349576843        1.9539531880484429E-004   2.6729826773109082E-005
   1.1852434864195561E-002  0.45431096283106803      -0.59921379122282004       0.35887369384712009        1.5383294846049809E-004   3.1136248898880240E-005
   1.1852434864195561E-002  0.54524956016774628      -0.54362018324140204       0.45286319119409535        1.1609923990015659E-004   3.3450012574091528E-005
   1.1852434864195561E-002  0.64518701272937085      -0.48330200931948458       0.54397564733770964        8.4495277108758652E-005   3.3494505128266033E-005
   1.1852434864195561E-002  0.75434863931936003      -0.41995956132275286       0.62619643117464940        5.9688492246051187E-005   3.1599305536994834E-005
   1.1852434864195561E-002  0.87297344116993048      -0.35500351092914473       0.69507904635275886        4.1137936696632933E-005   2.8368795841160917E-005
   1.1852434864195561E-002   1.0013122326554424      -0.28955443242622925       0.74795245055429571        2.7725415069695207E-005   2.4439587615403711E-005
   1.1852434864195561E-002   1.1396253041473725      -0.22457841994691358       0.78368336271947092        1.8244890061456765E-005   2.0332443640694210E-005
   1.1852434864195561E-002   1.2881795262052731      -0.16105296201749153       0.80225651496058037        1.1653792832826285E-005   1.6406307142554830E-005
   1.1852434864195561E-002   1.4472447918866254      -0.10008280061502801       0.80437248435891751        7.1445872169973080E-006   1.2874057871145668E-005
   1.1852434864195561E-002   1.6170896810666129       -4.2929207782951298E-002  0.79115587783404440        4.1252785156674037E-006   9.8397981362567435E-006
   1.1852434864195561E-002   1.7979762177473531        9.0478847674205255E-003  0.76398691578635591        2.1707286312714161E-006   7.3349065823365069E-006
   1.1852434864195561E-002   1.9901535790969955        5.4513461395703879E-002  0.72443078901904046        9.7471647297023240E-007   5.3450330286156274E-006
