,order,cutoff,rate,spec,decay type,particle,type,force
245,N4LO+,3,998602439907425.0,FULL,N-N-N,3H,DIRECT,2NF
246,N4LO,3,2170531788281174.0,PW,N-N-N,3H,DIRECT,2NF
247,N4LO+,2,1103362381642921.9,FULL,N-N-N,3H,DIRECT,2NF
248,N4LO,4,2104298079853336.5,PW,N-N-N,3H,DIRECT,2NF
249,N4LO,2,976834055257753.9,FULL,N-N-N,3H,DIRECT,2NF
250,N4LO,1,2339467423867749.0,PW,N-N-N,3H,DIRECT,2NF
251,N4LO+,3,66476502394739.0,1NC,N-N-N,3H,DIRECT,2NF
252,N4LO+,3,2165320911241740.2,PW,N-N-N,3H,DIRECT,2NF
253,N4LO+,4,53210349685402.99,1NC,N-N-N,3H,DIRECT,2NF
254,N4LO+,1,2350922188122420.5,PW,N-N-N,3H,DIRECT,2NF
255,N4LO,3,838577010698540.1,FULL,N-N-N,3H,DIRECT,2NF
256,N4LO,2,93466979151945.02,1NC,N-N-N,3H,DIRECT,2NF
257,N4LO+,2,7407853139950999.0,PW,N-D,3HE,DIRECT,2NF
258,N4LO+,2,3.6710573754786776e+16,PW,P-N-N,3HE,DIRECT,2NF
259,N4LO,2,2523778106219260.5,FULL,N-D,3HE,DIRECT,2NF
260,N4LO,2,1.26737288577538e+16,FULL,P-N-N,3HE,DIRECT,2NF
261,N4LO,1,70467798094396.0,1NC,N-D,3HE,DIRECT,2NF
262,N4LO,1,866192081785913.9,1NC,P-N-N,3HE,DIRECT,2NF
263,N4LO+,3,2031565970341334.0,FULL,N-D,3HE,DIRECT,2NF
264,N4LO+,3,1.2090843113200972e+16,FULL,P-N-N,3HE,DIRECT,2NF
265,N4LO,4,1743156015429395.0,FULL,N-D,3HE,DIRECT,2NF
266,N4LO,4,1.0870217048614684e+16,FULL,P-N-N,3HE,DIRECT,2NF
267,N4LO+,4,4951907931982391.0,PW,N-D,3HE,DIRECT,2NF
268,N4LO+,4,3.0834489361533924e+16,PW,P-N-N,3HE,DIRECT,2NF
269,N4LO,4,18200221251753.0,1NC,N-D,3HE,DIRECT,2NF
270,N4LO,4,637574346245364.9,1NC,P-N-N,3HE,DIRECT,2NF
271,N4LO,4,5088440620044326.0,PW,N-D,3HE,DIRECT,2NF
272,N4LO,4,3.1262156120263336e+16,PW,P-N-N,3HE,DIRECT,2NF
273,N4LO+,1,3731205846130883.5,FULL,N-D,3HE,DIRECT,2NF
274,N4LO+,1,1.6679340364112892e+16,FULL,P-N-N,3HE,DIRECT,2NF
275,N4LO,3,6022269617889089.0,PW,N-D,3HE,DIRECT,2NF
276,N4LO,3,3.3647416001366828e+16,PW,P-N-N,3HE,DIRECT,2NF
277,N4LO,1,9564336500551792.0,PW,N-D,3HE,DIRECT,2NF
278,N4LO,1,4.100313788750295e+16,PW,P-N-N,3HE,DIRECT,2NF
279,N4LO,3,22187635451688.996,1NC,N-D,3HE,DIRECT,2NF
280,N4LO,3,687730473077194.0,1NC,P-N-N,3HE,DIRECT,2NF
281,N4LO+,4,27982991999405.996,1NC,N-D,3HE,DIRECT,2NF
282,N4LO+,4,549990273937114.06,1NC,P-N-N,3HE,DIRECT,2NF
283,LO,1,2.036345976171473e+16,FULL,N-D,3HE,DIRECT,2NF
284,LO,1,4.4863174238257736e+16,FULL,N-D,3HE,DIRECT,2NF
285,LO,1,4.773333399137368e+16,FULL,P-N-N,3HE,DIRECT,2NF
286,N4LO,1,3693203768961784.5,FULL,N-D,3HE,DIRECT,2NF
287,N4LO,1,1.613123416393114e+16,FULL,P-N-N,3HE,DIRECT,2NF
288,N4LO+,2,23988702366898.996,1NC,N-D,3HE,DIRECT,2NF
289,N4LO+,2,677025030617819.1,1NC,P-N-N,3HE,DIRECT,2NF
290,N4LO+,3,15788426591045.998,1NC,N-D,3HE,DIRECT,2NF
291,N4LO+,3,600988933430961.9,1NC,P-N-N,3HE,DIRECT,2NF
292,N4LO,2,7525052533734751.0,PW,N-D,3HE,DIRECT,2NF
293,N4LO,2,3.701313677073893e+16,PW,P-N-N,3HE,DIRECT,2NF
294,N4LO+,4,1839713151807259.2,FULL,N-D,3HE,DIRECT,2NF
295,N4LO+,4,1.2284801162044994e+16,FULL,P-N-N,3HE,DIRECT,2NF
296,N4LO,3,1939274229648337.0,FULL,N-D,3HE,DIRECT,2NF
297,N4LO,3,1.0989625204760972e+16,FULL,P-N-N,3HE,DIRECT,2NF
298,N4LO+,1,56686286060451.99,1NC,N-D,3HE,DIRECT,2NF
299,N4LO+,1,809522677701550.1,1NC,P-N-N,3HE,DIRECT,2NF
300,N4LO+,2,2598526886973792.5,FULL,N-D,3HE,DIRECT,2NF
301,N4LO+,2,1.3506911193197432e+16,FULL,P-N-N,3HE,DIRECT,2NF
302,N4LO+,3,5910040992193871.0,PW,N-D,3HE,DIRECT,2NF
303,N4LO+,3,3.331366407006185e+16,PW,P-N-N,3HE,DIRECT,2NF
304,N4LO,2,36823368885596.01,1NC,N-D,3HE,DIRECT,2NF
305,N4LO,2,752611417023272.1,1NC,P-N-N,3HE,DIRECT,2NF
306,N4LO+,1,9429414213971308.0,PW,N-D,3HE,DIRECT,2NF
307,N4LO+,1,4.069076696980531e+16,PW,P-N-N,3HE,DIRECT,2NF
