 #   q  dGamma/dq   dGamma/dE1 
   2.1925313683085874E-002   6.0667428028181052E-008   6.3199395980192278E-007
   2.2921793032399211E-002   5.9664073223049078E-008   6.0788140324586955E-007
   2.3940416367252845E-002   5.8597720803806066E-008   5.8417790416258676E-007
   2.4981183687646766E-002   5.7476323920343065E-008   5.6093524542636330E-007
   2.6044094993580992E-002   5.6306386696577005E-008   5.3818708909476155E-007
   2.7129150285055512E-002   5.5092788641772506E-008   5.1594916238961159E-007
   2.8236349562070325E-002   5.3838571363541653E-008   4.9421907552396814E-007
   2.9365692824625436E-002   5.2544851986006649E-008   4.7297730127713361E-007
   3.0517180072720848E-002   5.1215465739137273E-008   4.5222980094472833E-007
   3.1690811306356551E-002   4.9860102960593236E-008   4.3203282404275183E-007
   3.2886586525532543E-002   4.8488388664113881E-008   4.1243793604288283E-007
   3.4104505730248841E-002   4.7109242926814265E-008   3.9348709789631779E-007
   3.5344568920505443E-002   4.5730790762285647E-008   3.7521277651660364E-007
   3.6606776096302328E-002   4.4360284000528105E-008   3.5763814053440663E-007
   3.7891127257639504E-002   4.3004034011929179E-008   3.4077732190645610E-007
   3.9197622404517005E-002   4.1667328340551632E-008   3.2463552577910831E-007
   4.0526261536934775E-002   4.0354349420302527E-008   3.0920914541611639E-007
   4.1877044654892844E-002   3.9068106951878643E-008   2.9448596888557122E-007
   4.3249971758391223E-002   3.7810399349863469E-008   2.8044558152270897E-007
   4.4645042847429886E-002   3.6581787605873361E-008   2.6705982100622976E-007
   4.6062257922008847E-002   3.5381586267505643E-008   2.5429331311603524E-007
   4.7501616982128098E-002   3.4207843505248467E-008   2.4210388118465072E-007
   4.8963120027787667E-002   3.3057327566691761E-008   2.3044296313160257E-007
   5.0446767058987520E-002   3.1925543054137198E-008   2.1925619624729864E-007
   5.1952558075727663E-002   3.0806807824908944E-008   2.0848436101769212E-007
   5.3480493078008118E-002   2.9698476931421664E-008   1.9809190465064393E-007
   5.5030572065828856E-002   2.8604320364982327E-008   1.8808747291154965E-007
   5.6602795039189878E-002   2.7528425902813829E-008   1.7848128826013775E-007
   5.8197161998091239E-002   2.6474527078757337E-008   1.6928074409114629E-007
   5.9813672942532863E-002   2.5446007316587879E-008   1.6049062325697626E-007
   6.1452327872514777E-002   2.4445875226469230E-008   1.5211311955541895E-007
   6.3113126788036988E-002   2.3476722893167252E-008   1.4414775307865768E-007
   6.4796069689099525E-002   2.2540739559919115E-008   1.3659162788632620E-007
   6.6501156575702339E-002   2.1639720575384370E-008   1.2943964139544783E-007
   6.8228387447845443E-002   2.0775065069748409E-008   1.2268461120743250E-007
   6.9977762305528865E-002   1.9947761565695140E-008   1.1631732201028398E-007
   7.1749281148752564E-002   1.9158392876439467E-008   1.1032668005261940E-007
   7.3542943977516553E-002   1.8407196301279554E-008   1.0470017077777552E-007
   7.5358750791820847E-002   1.7694097305111704E-008   9.9424134180320040E-008
   7.7196701591665459E-002   1.7018722170431088E-008   9.4483903636701464E-008
   7.9056796377050348E-002   1.6380419268426689E-008   8.9863982162979572E-008
   8.0939035147975513E-002   1.5778298153432706E-008   8.5548302939990065E-008
   8.2843417904441011E-002   1.5212202237465117E-008   8.1525475024569699E-008
   8.4769944646446785E-002   1.4683655090142701E-008   7.7793529623008827E-008
   8.6718615373992863E-002   1.4194320701441115E-008   7.4351322463002058E-008
   8.8689430087079246E-002   1.3745808277641418E-008   7.1197476656524257E-008
   9.0682388785705906E-002   1.3339600052476709E-008   6.8330025775358146E-008
   9.2697491469872870E-002   1.2976964684701537E-008   6.5746007307098185E-008
   9.4734738139580110E-002   1.2658793413573794E-008   6.3440695375823778E-008
   9.6794128794827683E-002   1.2385276417673515E-008   6.1406090429512722E-008
   9.8875663435615532E-002   1.2155341793086760E-008   5.9628340343535889E-008
  0.10097934206194367        1.1965682196292468E-008   5.8083322008035995E-008
  0.10310516467381214        1.1809205280506175E-008   5.6729729621613335E-008
  0.10525313127122086        1.1673109752604515E-008   5.5500808301508214E-008
  0.10742324185416992        1.1537863200478613E-008   5.4300835247212033E-008
  0.10961549642265922        1.1379969837281212E-008   5.3019470381605049E-008
  0.11182989497668885        1.1180665703375956E-008   5.1572591574959982E-008
  0.11406643751625881        1.0936099659090067E-008   4.9947501887878664E-008
  0.11632512404136904        1.0658667080385489E-008   4.8205477261474456E-008
  0.11860595455201955        1.0368592459832216E-008   4.6440491770237504E-008
  0.12090892904821036        1.0085151034591647E-008   4.4738711405530250E-008
  0.12323404752994145        9.8221672976381965E-009   4.3159084364667725E-008
  0.12558130999721287        9.5882530956553538E-009   4.1735655271841496E-008
  0.12795071645002457        9.3884386062250654E-009   4.0485756745554315E-008
  0.13034226688837661        9.2256285702051513E-009   3.9417001369408246E-008
  0.13275596131226891        9.1016237349216334E-009   3.8532049845628821E-008
