 #    q  dGamma/dq   dGamma/dE1 
   2.0950978319312842E-002   6.1407493840691308E-008   6.5440931322405286E-007
   2.1925313683085874E-002   6.0358073757869909E-008   6.2877130743919602E-007
   2.2921793032399211E-002   5.9242216380072377E-008   6.0358335727239278E-007
   2.3940416367252845E-002   5.8069666771432295E-008   5.7891357828633737E-007
   2.4981183687646766E-002   5.6848810462103517E-008   5.5481108174126440E-007
   2.6044094993580992E-002   5.5586464674349334E-008   5.3130593830087695E-007
   2.7129150285055512E-002   5.4287685301274947E-008   5.0840929366254855E-007
   2.8236349562070325E-002   5.2955586167898105E-008   4.8611358319681068E-007
   2.9365692824625436E-002   5.1591267934681850E-008   4.6439370851610289E-007
   3.0517180072720848E-002   5.0198535301584379E-008   4.4325036001390514E-007
   3.1690811306356551E-002   4.8787047704263410E-008   4.2273490716695849E-007
   3.2886586525532543E-002   4.7366318783915597E-008   4.0289370910041548E-007
   3.4104505730248841E-002   4.5945079267239729E-008   3.8376324432911042E-007
   3.5344568920505443E-002   4.4531186861249393E-008   3.6537024585126540E-007
   3.6606776096302328E-002   4.3131546953821878E-008   3.4773190926265639E-007
   3.7891127257639504E-002   4.1752051277582254E-008   3.3085622187278216E-007
   3.9197622404517005E-002   4.0397520499553299E-008   3.1474228921899652E-007
   4.0526261536934775E-002   3.9071651648249361E-008   2.9938066626526251E-007
   4.1877044654892844E-002   3.7776974691888798E-008   2.8475372526775640E-007
   4.3249971758391223E-002   3.6514823449416167E-008   2.7083609463404262E-007
   4.4645042847429886E-002   3.5285308422960225E-008   2.5759507034239140E-007
   4.6062257922008847E-002   3.4087295130605900E-008   2.4499102862119824E-007
   4.7501616982128098E-002   3.2918384950165105E-008   2.3297781859714694E-007
   4.8963120027787667E-002   3.1774912606586469E-008   2.2150323553944458E-007
   5.0446767058987520E-002   3.0651954860256396E-008   2.1050952896266542E-007
   5.1952558075727663E-002   2.9543407866770058E-008   1.9993433095682380E-007
   5.3480493078008118E-002   2.8446312355614060E-008   1.8973983776416469E-007
   5.5030572065828856E-002   2.7364259887397382E-008   1.7993346545706821E-007
   5.6602795039189878E-002   2.6301165196265360E-008   1.7052431052704376E-007
   5.8197161998091239E-002   2.5260574470278489E-008   1.6151861107009695E-007
   5.9813672942532863E-002   2.4245649339522005E-008   1.5291984024673942E-007
   6.1452327872514777E-002   2.3259159954902263E-008   1.4472884878131913E-007
   6.3113126788036988E-002   2.2303479757241084E-008   1.3694400651537832E-007
   6.4796069689099525E-002   2.1380582066654985E-008   1.2956134388928971E-007
   6.6501156575702339E-002   2.0492044500684130E-008   1.2257472929873996E-007
   6.8228387447845443E-002   1.9639061406216548E-008   1.1597608021979342E-007
   6.9977762305528865E-002   1.8822457494392572E-008   1.0975556541468259E-007
   7.1749281148752564E-002   1.8042708219922597E-008   1.0390183090514596E-007
   7.3542943977516553E-002   1.7299959263799471E-008   9.8402204209798820E-008
   7.5358750791820847E-002   1.6594050572916236E-008   9.3242909333386024E-008
   7.7196701591665459E-002   1.5924550914498583E-008   8.8409324683459363E-008
   7.9056796377050348E-002   1.5290795140533521E-008   8.3886237540649854E-008
