 #     E1  dGamma/dq   dGamma/dE1 
  0.2556043E+00  0.4824296E-07  0.1471906E-06
  0.2589898E+00  0.4829753E-07  0.1463908E-06
  0.2623975E+00  0.4829346E-07  0.1454249E-06
  0.2658275E+00  0.4822888E-07  0.1442904E-06
  0.2692798E+00  0.4810350E-07  0.1429898E-06
  0.2727543E+00  0.4791239E-07  0.1415117E-06
  0.2762511E+00  0.4764627E-07  0.1398322E-06
  0.2797702E+00  0.4729287E-07  0.1379193E-06
  0.2833116E+00  0.4684137E-07  0.1357462E-06
  0.2868752E+00  0.4628295E-07  0.1332922E-06
  0.2904611E+00  0.4561365E-07  0.1305513E-06
  0.2940693E+00  0.4483818E-07  0.1275421E-06
  0.2976997E+00  0.4396739E-07  0.1243002E-06
  0.3013525E+00  0.4301724E-07  0.1208747E-06
  0.3050275E+00  0.4201030E-07  0.1173320E-06
  0.3087247E+00  0.4097406E-07  0.1137506E-06
  0.3124443E+00  0.3993687E-07  0.1102092E-06
  0.3161861E+00  0.3892349E-07  0.1067753E-06
  0.3199502E+00  0.3795299E-07  0.1034987E-06
  0.3237365E+00  0.3703646E-07  0.1004070E-06
  0.3275452E+00  0.3617758E-07  0.9750664E-07
  0.3313761E+00  0.3538417E-07  0.9481537E-07
  0.3352293E+00  0.3466999E-07  0.9236619E-07
  0.3391047E+00  0.3405255E-07  0.9020134E-07
  0.3430024E+00  0.3355771E-07  0.8838406E-07
  0.3469224E+00  0.3321996E-07  0.8699878E-07
  0.3508647E+00  0.3307724E-07  0.8613699E-07
  0.3548292E+00  0.3316744E-07  0.8588801E-07
  0.3588160E+00  0.3352352E-07  0.8632646E-07
  0.3628251E+00  0.3416535E-07  0.8749182E-07
  0.3668565E+00  0.3508977E-07  0.8936402E-07
  0.3709101E+00  0.3626284E-07  0.9184545E-07
  0.3749860E+00  0.3761992E-07  0.9476339E-07
  0.3790842E+00  0.3907151E-07  0.9788646E-07
  0.3832047E+00  0.4051276E-07  0.1009501E-06
  0.3873474E+00  0.4183478E-07  0.1036854E-06
  0.3915124E+00  0.4293663E-07  0.1058487E-06
  0.3956996E+00  0.4374294E-07  0.1072643E-06
  0.3999092E+00  0.4421298E-07  0.1078448E-06
  0.4041410E+00  0.4434288E-07  0.1075939E-06
  0.4083951E+00  0.4416892E-07  0.1066122E-06
  0.4126714E+00  0.4377291E-07  0.1051074E-06
  0.4169701E+00  0.4329735E-07  0.1034282E-06
  0.4212910E+00  0.4299077E-07  0.1021679E-06
  0.4256342E+00  0.4325703E-07  0.1022748E-06
  0.4299996E+00  0.4426180E-07  0.1041179E-06
  0.4343873E+00  0.4527970E-07  0.1059730E-06
  0.4387973E+00  0.4479354E-07  0.1043070E-06
  0.4432296E+00  0.3881664E-07  0.8993605E-07
