 #     E1  dGamma/dq   dGamma/dE1 
  0.3873474E+00  0.2304889E-06  0.5712548E-06
  0.3915124E+00  0.2329115E-06  0.5741806E-06
  0.3956996E+00  0.2364206E-06  0.5797392E-06
  0.3999092E+00  0.2410467E-06  0.5879640E-06
  0.4041410E+00  0.2467986E-06  0.5988340E-06
  0.4083951E+00  0.2537016E-06  0.6123690E-06
  0.4126714E+00  0.2618714E-06  0.6288052E-06
  0.4169701E+00  0.2716983E-06  0.6490300E-06
  0.4212910E+00  0.2842062E-06  0.6754182E-06
  0.4256342E+00  0.3014725E-06  0.7127868E-06
  0.4299996E+00  0.3276348E-06  0.7707015E-06
  0.4343873E+00  0.3716514E-06  0.8698162E-06
  0.4387973E+00  0.4584489E-06  0.1067553E-05
  0.4432296E+00  0.7171175E-06  0.1661522E-05
