DEG	LO2	NLO2	N2LO2	N3LO2	N4LO1	N4LO2	N4LO3	N4LO4	N4LO+2	AV18
136	-0.7573	-0.7191	-0.6942	-0.6883	-0.6961000000000001	-0.6933	-0.6895	-0.6864	-0.6919999999999999	-0.6928
137	-0.7502	-0.7114	-0.6862	-0.6802	-0.6881	-0.6852	-0.6814	-0.6782	-0.6839	-0.6847
138	-0.7427	-0.7033	-0.6778	-0.6717	-0.6797	-0.6768	-0.6729000000000001	-0.6697	-0.6754	-0.6763
139	-0.7348	-0.6949	-0.669	-0.6627999999999999	-0.6709000000000001	-0.6679	-0.664	-0.6607	-0.6666	-0.6674
140	-0.7265	-0.6860000000000001	-0.6597	-0.6535	-0.6616	-0.6586	-0.6546	-0.6513	-0.6573	-0.6581
141	-0.7177	-0.6766	-0.65	-0.6437	-0.6519	-0.6489	-0.6448	-0.6415	-0.6475	-0.6483
142	-0.7084	-0.6667	-0.6398	-0.6334	-0.6418	-0.6385999999999999	-0.6346000000000001	-0.6312	-0.6373	-0.6381
143	-0.6987	-0.6564	-0.6292	-0.6227	-0.6311	-0.6279	-0.6238	-0.6204	-0.6266	-0.6273
144	-0.6884	-0.6455	-0.618	-0.6114000000000001	-0.6199	-0.6167	-0.6125	-0.609	-0.6153	-0.6161
145	-0.6775	-0.6341	-0.6063	-0.5996	-0.6082	-0.6049	-0.6007	-0.5972	-0.6035	-0.6042999999999999
146	-0.666	-0.6221	-0.594	-0.5872000000000001	-0.5959	-0.5926	-0.5883	-0.5848	-0.5911999999999999	-0.592
147	-0.6539	-0.6095	-0.5810999999999999	-0.5743	-0.5831	-0.5797	-0.5754	-0.5718	-0.5783	-0.579
148	-0.6411	-0.5962	-0.5676	-0.5607	-0.5696	-0.5662	-0.5618	-0.5582	-0.5648	-0.5655
149	-0.6276	-0.5823	-0.5535	-0.5466	-0.5555	-0.552	-0.5476	-0.544	-0.5506	-0.5513
150	-0.6133999999999999	-0.5677	-0.5387	-0.5317	-0.5407	-0.5372	-0.5328000000000001	-0.5291	-0.5358000000000001	-0.5365
151	-0.5984	-0.5524	-0.5233	-0.5163	-0.5252	-0.5217000000000001	-0.5173	-0.5135999999999999	-0.5203	-0.521
