DEG	LO2	NLO2	N2LO2	N3LO2	N4LO1	N4LO2	N4LO3	N4LO4	N4LO+2	AV18
148	-0.1483	-0.2714	-0.2775	-0.2722	-0.2745	-0.2687	-0.2624	-0.2573	-0.2665	-0.2439
149	-0.1464	-0.2659	-0.2721	-0.2669	-0.2692	-0.2635	-0.2572	-0.2522	-0.2611	-0.2388
150	-0.1443	-0.2601	-0.2663	-0.2613	-0.2636	-0.2579	-0.2517	-0.2467	-0.2556	-0.2335
151	-0.1421	-0.2541	-0.2603	-0.2555	-0.2577	-0.252	-0.2459	-0.241	-0.2497	-0.228
152	-0.1396	-0.2478	-0.254	-0.2493	-0.2515	-0.2459	-0.2399	-0.2351	-0.2436	-0.2222
153	-0.1368	-0.2412	-0.2474	-0.2429	-0.245	-0.2395	-0.2336	-0.2289	-0.2372	-0.2163
154	-0.1339	-0.2344	-0.2406	-0.2363	-0.2383	-0.2329	-0.2271	-0.2225	-0.2306	-0.2101
155	-0.1308	-0.2273	-0.2335	-0.2293	-0.2313	-0.226	-0.2203	-0.2158	-0.2237	-0.2037
156	-0.1274	-0.22	-0.2261	-0.2222	-0.2241	-0.2189	-0.2133	-0.2089	-0.2166	-0.1971
157	-0.1238	-0.2125	-0.2185	-0.2148	-0.2166	-0.2115	-0.2061	-0.2019	-0.2093	-0.1903
158	-0.12	-0.2047	-0.2107	-0.2071	-0.2089	-0.204	-0.1987	-0.1946	-0.2018	-0.1834
159	-0.1161	-0.1968	-0.2026	-0.1992	-0.201	-0.1962	-0.1911	-0.1871	-0.194	-0.1762
160	-0.1119	-0.1886	-0.1944	-0.1912	-0.1928	-0.1882	-0.1833	-0.1794	-0.1861	-0.1689
161	-0.1076	-0.1803	-0.1859	-0.1829	-0.1845	-0.18	-0.1753	-0.1716	-0.1779	-0.1614
162	-0.103	-0.1718	-0.1773	-0.1744	-0.1759	-0.1716	-0.1671	-0.1635	-0.1696	-0.1538
163	-0.09830999999999999	-0.1632	-0.1684	-0.1658	-0.1672	-0.1631	-0.1587	-0.1553	-0.1612	-0.1461
164	-0.09343	-0.1544	-0.1594	-0.1569	-0.1583	-0.1543	-0.1502	-0.147	-0.1525	-0.1382
165	-0.08840000000000001	-0.1454	-0.1502	-0.1479	-0.1492	-0.1455	-0.1416	-0.1385	-0.1437	-0.1301
166	-0.08321000000000001	-0.1363	-0.1409	-0.1388	-0.14	-0.1364	-0.1328	-0.1299	-0.1348	-0.122
167	-0.07789	-0.1271	-0.1315	-0.1295	-0.1306	-0.1273	-0.1238	-0.1211	-0.1257	-0.1138
168	-0.07242999999999999	-0.1178	-0.1219	-0.12	-0.1211	-0.118	-0.1148	-0.1123	-0.1165	-0.1054
169	-0.06684	-0.1083	-0.1121	-0.1105	-0.1114	-0.1086	-0.1056	-0.1033	-0.1072	-0.09694999999999999
170	-0.06114	-0.09878000000000001	-0.1023	-0.1008	-0.1017	-0.09904	-0.09635000000000001	-0.09422999999999999	-0.0978	-0.08841
171	-0.05533	-0.08914999999999999	-0.09236	-0.09102	-0.09180000000000001	-0.08942	-0.08698	-0.08507000000000001	-0.08828999999999999	-0.0798
172	-0.04943	-0.07944	-0.08233	-0.08115	-0.08184	-0.07971	-0.07753	-0.07582	-0.07870000000000001	-0.07111000000000001
173	-0.04344	-0.06967	-0.07222000000000001	-0.07119	-0.07179000000000001	-0.06992	-0.06801	-0.0665	-0.06902999999999999	-0.06236
174	-0.03737	-0.05983	-0.06204	-0.06116	-0.06167	-0.06006	-0.05841	-0.05712	-0.05929	-0.05355
175	-0.03125	-0.04994	-0.05179	-0.05106	-0.05149	-0.05014	-0.04876	-0.04768	-0.0495	-0.0447
176	-0.02506	-0.04	-0.04149	-0.04091	-0.04126	-0.04017	-0.03907	-0.0382	-0.03966	-0.03581
177	-0.01883	-0.03003	-0.03116	-0.03072	-0.03098	-0.03017	-0.02933	-0.02868	-0.02978	-0.02688
178	-0.01257	-0.02004	-0.02079	-0.0205	-0.02067	-0.02013	-0.01957	-0.01914	-0.01987	-0.01794
179	-0.006293	-0.01002	-0.0104	-0.01025	-0.01034	-0.01007	-0.009790999999999999	-0.009573	-0.009938000000000001	-0.008972000000000001
180	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
